CORPORATE_IDENTIFICATION_NUMBER,DATE_OF_REGISTRATION
U51310MH1994PTC082494,1994
U51310MH1994PTC082958,1994
U51310MH1994PTC083398,1994
U51310MH1994PTC083838,1994
U51310MH1994PTC083839,1994
U51310MH1994PTC083840,1994
U51310MH1995PLC087645,1994
U51310MH1995PTC084216,1995
U51310MH1995PTC084311,1995
U51310MH1995PTC084636,1995
U51310MH1995PTC084640,1995
U51310MH1995PTC084817,1995
U51310MH1995PTC084861,1995
U51310MH1995PTC085650,1995
U51310MH1995PTC086857,1995
U51310MH1995PTC087465,1995
U51310MH1995PTC088808,1995
U51310MH1995PTC090004,1995
U51310MH1995PTC090973,1995
U51310MH1995PTC093641,1995
U51310MH1995PTC095010,1995
U51310MH1996PTC104512,1995
U51310MH1997PTC105463,1996
U51310MH1997PTC110932,1997
U51310MH1998PLC113759,1997
U51310MH1998PTC115140,1998
U51310MH1999PTC119493,1998
U51310MH1999PTC122316,1999
U51310MH1999PTC123251,1999
U51310MH2000PTC126840,1999
U51310MH2000PTC128623,2000
U51310MH2000PTC129900,2000
U51310MH2000PTC129978,2000
U51310MH2001PLC130512,2000
U51310MH2001PTC130332,2001
U51310MH2001PTC130448,2001
U51310MH2001PTC130594,2001
U51310MH2001PTC130595,2001
U51310MH2001PTC130631,2001
U51310MH2001PTC130872,2001
U51310MH2001PTC130873,2001
U51310MH2001PTC130913,2001
U51310MH2001PTC130971,2001
U51310MH2001PTC131055,2001
U51310MH2001PTC131061,2001
U51310MH2001PTC131451,2001
U51310MH2001PTC131556,2001
U51310MH2001PTC131657,2001
U51310MH2001PTC131752,2001
U51310MH2001PTC131753,2001
U51310MH2001PTC131805,2001
U51310MH2001PTC133322,2001
U51310MH2002PTC135600,2001
U51310MH2002PTC135620,2002
U51310MH2002PTC135759,2002
U51310MH2002PTC136131,2002
U51310MH2002PTC136441,2002
U51310MH2002PTC137256,2002
U51310MH2002PTC137331,2002
U51310MH2002PTC137332,2002
U51310MH2002PTC137542,2002
U51310MH2002PTC137955,2002
U51310MH2002PTC138343,2002
U51310MH2003PTC139210,2002
U51310MH2003PTC139628,2003
U51310MH2003PTC139630,2003
U51310MH2003PTC139653,2003
U51310MH2003PTC139670,2003
U51310MH2003PTC139792,2003
U51310MH2003PTC140018,2003
U51310MH2003PTC141593,2003
U51310MH2003PTC141716,2003
U51310MH2003PTC143716,2003
U51310MH2003PTC143737,2003
U51310MH2004PTC118448,2003
U51310MH2004PTC144145,2004
U51310MH2004PTC144287,2004
U51310MH2004PTC144470,2004
U51310MH2004PTC145133,2004
U51310MH2004PTC146380,2004
U51310MH2004PTC146707,2004
U51310MH2004PTC147527,2004
U51310MH2004PTC147575,2004
U51310MH2004PTC148520,2004
U51310MH2004PTC149812,2004
U51310MH2004PTC150276,2004
U51310MH2005PLC152213,2004
U51310MH2005PTC151676,2005
U51310MH2005PTC151839,2005
U51310MH2005PTC152044,2005
U51310MH2005PTC152420,2005
U51310MH2005PTC153564,2005
U51310MH2005PTC153769,2005
U51310MH2005PTC154627,2005
U51310MH2005PTC154934,2005
U51310MH2005PTC155248,2005
U51310MH2005PTC155477,2005
U51310MH2005PTC155881,2005
U51310MH2005PTC155934,2005
U51310MH2005PTC156351,2005
U51310MH2005PTC157331,2005
U51310MH2006PTC159565,2005
U51310MH2006PTC160604,2006
U51310MH2007FTC169621,2006
U51310MH2007PLC170927,2007
U51310MH2007PTC170929,2007
U51310MH2007PTC171800,2007
U51310MH2007PTC176943,2007
U51310MH2008PLC185850,2007
U51310MH2008PTC178078,2008
U51310MH2008PTC180004,2008
U51310MH2008PTC181341,2008
U51310MH2008PTC182032,2008
U51310MH2008PTC182128,2008
U51310MH2008PTC182142,2008
U51310MH2008PTC182272,2008
U51310MH2008PTC183854,2008
U51310MH2008PTC185831,2008
U51310MH2008PTC185991,2008
U51310MH2008PTC187554,2008
U51310MH2009FTC191189,2008
U51310MH2010PTC200374,2009
U51310MH2010PTC205376,2010
U51310MH2011PTC223602,2010
U51310MH2012PTC229262,2011
U51310MH2016PTC283194,2012
U51310MH2017PTC299282,2016
U51310MH2018PTC307762,2017
U51310MH2019PTC319939,2018
U51310MH2019PTC322308,2019
U51310MH2019PTC324824,2019
U51310MH2019PTC327781,2019
U51310MH2019PTC335126,2019
U51310MH2020PTC336293,2019
U51310PN2008PTC135702,2020
U51311MH1873PLC000013,2008
U51311MH1941PLC003269,01-10-1873
U51311MH1941PLC003347,1941
U51311MH1941PLC010311,1941
U51311MH1946PTC005079,1941
U51311MH1948PTC006261,1946
U51311MH1948PTC006296,1948
U51311MH1949PTC006865,1948
U51311MH1949PTC007019,1949
U51311MH1950PTC007950,1949
U51311MH1950PTC008026,1950
U51311MH1952PTC183358,1950
U51311MH1953PTC009023,1952
U51311MH1953PTC009035,1953
U51311MH1954PLC009401,1953
U51311MH1956PLC009751,1954
U51311MH1961PTC012100,1956
U51311MH1962PTC012293,1961
U51311MH1971PTC015170,1962
U51311MH1972GAP016172,1971
U51311MH1972PLC016062,1972
U51311MH1972PTC015709,1972
U51311MH1979PTC021716,1972
U51311MH1981PLC023641,1979
U51311MH1981PTC025811,1981
U51311MH1981PTC025812,1981
U51311MH1982PLC026269,1981
U51311MH1982PLC027820,1982
U51311MH1982PTC027747,1982
U51311MH1982PTC027781,1982
U51311MH1982PTC027813,1982
U51311MH1982PTC028629,1982
U51311MH1983PTC030977,1982
U51311MH1984PLC034722,1983
U51311MH1984PLC034910,1984
U51311MH1984PTC032587,1984
U51311MH1984PTC034729,1984
U51311MH1985PTC035101,1984
U51311MH1985PTC035334,1985
U51311MH1985PTC035402,1985
U51311MH1985PTC035511,1985
U51311MH1985PTC035797,1985
U51311MH1985PTC036105,1985
U51311MH1985PTC036121,1985
U51311MH1985PTC038209,1985
U51311MH1986PTC038524,1985
U51311MH1986PTC038839,1986
U51311MH1986PTC038918,1986
U51311MH1986PTC039010,1986
U51311MH1986PTC039529,1986
U51311MH1986PTC039791,1986
U51311MH1986PTC039857,1986
U51311MH1986PTC040149,1986
U51311MH1986PTC040512,1986
U51311MH1987PTC042101,1986
U51311MH1987PTC043331,1987
U51311MH1987PTC044131,1987
U51311MH1987PTC044570,1987
U51311MH1987PTC044679,1987
U51311MH1987PTC045084,1987
U51311MH1987PTC045399,1987
U51311MH1988PTC045958,1987
U51311MH1988PTC047112,1988
U51311MH1988PTC047659,1988
U51311MH1988PTC049088,1988
U51311MH1988PTC049860,1988
U51311MH1989PTC050827,1988
U51311MH1989PTC051273,1989
U51311MH1989PTC051855,1989
U51311MH1989PTC051860,1989
U51311MH1989PTC051862,1989
U51311MH1989PTC051869,1989
U51311MH1989PTC052187,1989
U51311MH1989PTC052317,1989
U51311MH1989PTC052420,1989
U51311MH1989PTC052678,1989
U51311MH1989PTC052774,1989
U51311MH1989PTC053540,1989
U51311MH1989PTC054210,1989
U51311MH1989PTC054717,1989
U51311MH1989PTC054720,1989
U51311MH1989PTC054721,1989
U51311MH1989PTC054726,1989
U51311MH1990PTC054920,1989
U51311MH1990PTC055109,1990
U51311MH1990PTC056276,1990
U51311MH1990PTC057128,1990
U51311MH1990PTC057245,1990
U51311MH1990PTC057340,1990
U51311MH1990PTC057341,1990
U51311MH1990PTC057342,1990
U51311MH1990PTC057343,1990
U51311MH1990PTC057344,1990
U51311MH1990PTC057362,1990
U51311MH1990PTC057546,1990
U51311MH1990PTC057594,1990
U51311MH1990PTC057904,1990
U51311MH1990PTC058661,1990
U51311MH1990PTC059438,1990
U51311MH1990PTC059472,1990
U51311MH1990PTC059561,1990
U51311MH1991PTC060476,1990
U51311MH1991PTC060510,1991
U51311MH1991PTC061174,1991
U51311MH1991PTC061485,1991
U51311MH1991PTC061783,1991
U51311MH1991PTC061788,1991
U51311MH1991PTC061828,1991
U51311MH1991PTC061885,1991
U51311MH1991PTC061922,1991
U51311MH1991PTC063642,1991
U51311MH1991PTC063836,1991
U51311MH1991PTC063863,1991
U51311MH1992PTC064725,1991
U51311MH1992PTC064726,1992
U51311MH1992PTC064727,1992
U51311MH1992PTC064728,1992
U51311MH1992PTC064785,1992
U51311MH1992PTC064875,1992
U51311MH1992PTC064907,1992
U51311MH1992PTC065470,1992
U51311MH1992PTC065623,1992
U51311MH1992PTC066373,1992
U51311MH1992PTC066484,1992
U51311MH1992PTC067348,1992
U51311MH1992PTC067809,1992
U51311MH1992PTC068198,1992
U51311MH1992PTC068353,1992
U51311MH1992PTC069238,1992
U51311MH1992PTC069461,1992
U51311MH1992PTC069472,1992
U51311MH1992PTC069497,1992
U51311MH1992PTC069603,1992
U51311MH1993PTC070265,1992
U51311MH1993PTC070815,1993
U51311MH1993PTC071042,1993
U51311MH1993PTC071056,1993
U51311MH1993PTC071398,1993
U51311MH1993PTC071470,1993
U51311MH1993PTC071738,1993
U51311MH1993PTC071909,1993
U51311MH1993PTC071986,1993
U51311MH1993PTC072216,1993
U51311MH1993PTC072257,1993
U51311MH1993PTC072274,1993
U51311MH1993PTC072388,1993
U51311MH1993PTC072389,1993
U51311MH1993PTC072447,1993
U51311MH1993PTC072559,1993
U51311MH1993PTC072670,1993
U51311MH1993PTC073665,1993
U51311MH1993PTC074357,1993
U51311MH1993PTC075176,1993
U51311MH1993PTC075303,1993
U51311MH1994PTC075980,1993
U51311MH1994PTC077151,1994
U51311MH1994PTC077356,1994
U51311MH1994PTC078150,1994
U51311MH1994PTC078625,1994
U51311MH1994PTC078988,1994
U51311MH1994PTC079228,1994
U51311MH1994PTC082758,1994
U51311MH1995PLC017920,1994
U51311MH1995PTC084205,1995
U51311MH1995PTC084286,1995
U51311MH1995PTC084377,1995
U51311MH1995PTC084384,1995
U51311MH1995PTC084406,1995
U51311MH1995PTC084655,1995
U51311MH1995PTC084927,1995
U51311MH1995PTC087505,1995
U51311MH1995PTC087839,1995
U51311MH1995PTC087903,1995
U51311MH1995PTC088048,1995
U51311MH1995PTC088146,1995
U51311MH1995PTC091644,1995
U51311MH1995PTC093576,1995
U51311MH1995PTC095535,1995
U51311MH1996PTC099260,1995
U51311MH1996PTC099394,1996
U51311MH1996PTC099899,1996
U51311MH1996PTC100486,1996
U51311MH1996PTC101084,1996
U51311MH1996PTC103330,1996
U51311MH1996PTC104260,1996
U51311MH1996PTC104690,1996
U51311MH1996PTC131076,1996
U51311MH1996PTC246757,1996
U51311MH1997PTC105008,1996
U51311MH1997PTC108222,1997
U51311MH1997PTC108308,1997
U51311MH1997PTC108525,1997
U51311MH1997PTC108742,1997
U51311MH1997PTC108871,1997
U51311MH1997PTC109845,1997
U51311MH1997PTC109851,1997
U51311MH1997PTC109852,1997
U51311MH1997PTC110183,1997
U51311MH1997PTC110235,1997
U51311MH1997PTC110710,1997
U51311MH1997PTC112375,1997
U51311MH1997PTC112439,1997
U51311MH1998PLC113869,1997
U51311MH1998PLC335921,1998
U51311MH1998PTC113050,1998
U51311MH1998PTC113254,1998
U51311MH1998PTC113314,1998
U51311MH1998PTC113323,1998
U51311MH1998PTC114253,1998
U51311MH1998PTC114255,1998
U51311MH1998PTC115347,1998
U51311MH1998PTC115852,1998
U51311MH1998PTC116648,1998
U51311MH1998PTC116766,1998
U51311MH1998PTC116991,1998
U51311MH1998PTC117171,1998
U51311MH1998PTC117473,1998
U51311MH1998PTC117474,1998
U51311MH1998PTC117475,1998
U51311MH1998PTC117476,1998
U51311MH1998PTC117477,1998
U51311MH1998PTC117651,1998
U51311MH1998PTC117703,1998
U51311MH1999PTC118055,1998
U51311MH1999PTC118492,1999
U51311MH1999PTC118713,1999
U51311MH1999PTC119125,1999
U51311MH1999PTC119217,1999
U51311MH1999PTC119279,1999
U51311MH1999PTC119471,1999
U51311MH1999PTC120135,1999
U51311MH1999PTC120230,1999
U51311MH1999PTC120276,1999
U51311MH1999PTC120343,1999
U51311MH1999PTC120453,1999
U51311MH1999PTC120712,1999
U51311MH1999PTC121171,1999
U51311MH1999PTC122036,1999
U51311MH1999PTC122181,1999
U51311MH1999PTC122509,1999
U51311MH1999PTC122783,1999
U51311MH1999PTC123042,1999
U51311MH2000PLC125919,1999
U51311MH2000PLC128897,2000
U51311MH2000PTC124575,2000
U51311MH2000PTC124649,2000
U51311MH2000PTC125017,2000
U51311MH2000PTC125188,2000
U51311MH2000PTC125548,2000
U51311MH2000PTC125885,2000
U51311MH2000PTC125908,2000
U51311MH2000PTC125934,2000
U51311MH2000PTC125949,2000
U51311MH2000PTC126238,2000
U51311MH2000PTC126566,2000
U51311MH2000PTC128163,2000
U51311MH2000PTC128813,2000
U51311MH2000PTC128816,2000
U51311MH2000PTC128873,2000
U51311MH2000PTC128971,2000
U51311MH2000PTC129533,2000
U51311MH2000PTC129813,2000
U51311MH2000PTC129918,2000
U51311MH2000PTC129939,2000
U51311MH2000PTC129968,2000
U51311MH2000PTC129986,2000
U51311MH2000PTC129993,2000
U51311MH2000PTC130056,2000
U51311MH2000PTC130089,2000
U51311MH2000PTC130240,2000
U51311MH2000PTC189458,2000
U51311MH2001PLC131131,2000
U51311MH2001PLC131456,2001
U51311MH2001PTC130318,2001
U51311MH2001PTC130573,2001
U51311MH2001PTC130644,2001
U51311MH2001PTC130713,2001
U51311MH2001PTC130719,2001
U51311MH2001PTC130798,2001
U51311MH2001PTC131104,2001
U51311MH2001PTC131241,2001
U51311MH2001PTC131260,2001
U51311MH2001PTC131261,2001
U51311MH2001PTC131312,2001
U51311MH2001PTC131413,2001
U51311MH2001PTC131416,2001
U51311MH2001PTC131440,2001
U51311MH2001PTC131516,2001
U51311MH2001PTC131532,2001
U51311MH2001PTC131535,2001
U51311MH2001PTC131715,2001
U51311MH2001PTC131829,2001
U51311MH2001PTC131932,2001
U51311MH2001PTC132054,2001
U51311MH2001PTC132072,2001
U51311MH2001PTC132084,2001
U51311MH2001PTC132319,2001
U51311MH2001PTC133615,2001
U51311MH2001PTC133950,2001
U51311MH2002PTC134462,2001
U51311MH2002PTC134628,2002
U51311MH2002PTC134825,2002
U51311MH2002PTC134914,2002
U51311MH2002PTC134920,2002
U51311MH2002PTC135036,2002
U51311MH2002PTC135316,2002
U51311MH2002PTC135969,2002
U51311MH2002PTC136543,2002
U51311MH2002PTC137198,2002
U51311MH2002PTC137215,2002
U51311MH2002PTC272423,2002
U51311MH2003PLC059591,2002
U51311MH2003PTC139574,2003
U51311MH2003PTC140944,2003
U51311MH2003PTC140996,2003
U51311MH2003PTC141306,2003
U51311MH2003PTC141477,2003
U51311MH2003PTC141537,2003
U51311MH2003PTC142718,2003
U51311MH2003PTC143058,2003
U51311MH2003PTC143731,2003
U51311MH2004PTC143961,2003
U51311MH2004PTC144282,2004
U51311MH2004PTC144670,2004
U51311MH2004PTC144690,2004
U51311MH2004PTC144877,2004
U51311MH2004PTC144951,2004
U51311MH2004PTC145110,2004
U51311MH2004PTC145769,2004
U51311MH2004PTC147087,2004
U51311MH2004PTC147123,2004
U51311MH2004PTC147594,2004
U51311MH2004PTC148004,2004
U51311MH2004PTC148716,2004
U51311MH2004PTC148967,2004
U51311MH2005PTC154358,2004
U51311MH2005PTC154912,2005
U51311MH2005PTC155738,2005
U51311MH2005PTC158436,2005
U51311MH2006PTC158872,2005
U51311MH2006PTC161017,2006
U51311MH2006PTC161082,2006
U51311MH2006PTC162428,2006
U51311MH2006PTC162430,2006
U51311MH2006PTC163260,2006
U51311MH2006PTC165311,2006
U51311MH2007PTC167625,2006
U51311MH2007PTC168736,2007
U51311MH2007PTC169022,2007
U51311MH2007PTC175154,2007
U51311MH2007PTC176864,2007
U51311MH2008PLC186311,2007
U51311MH2008PLC186375,2008
U51311MH2008PLC187400,2008
U51311MH2008PTC180145,2008
U51311MH2008PTC180543,2008
U51311MH2008PTC181376,2008
U51311MH2008PTC181636,2008
U51311MH2008PTC181648,2008
U51311MH2008PTC182455,2008
U51311MH2008PTC182499,2008
U51311MH2008PTC182566,2008
U51311MH2008PTC183342,2008
U51311MH2008PTC183493,2008
U51311MH2008PTC184164,2008
U51311MH2008PTC184876,2008
U51311MH2008PTC184986,2008
U51311MH2008PTC186340,2008
U51311MH2008PTC186354,2008
U51311MH2008PTC186782,2008
U51311MH2008PTC186784,2008
U51311MH2008PTC186879,2008
U51311MH2008PTC187125,2008
U51311MH2008PTC187390,2008
U51311MH2008PTC187435,2008
U51311MH2008PTC187452,2008
U51311MH2008PTC187516,2008
U51311MH2010PTC202916,2008
U51311MH2010PTC207243,2010
U51311MH2011PLC218171,2010
U51311MH2011PTC213803,2011
U51311MH2011PTC213804,2011
U51311MH2012PTC238004,2011
U51311MH2016PTC282503,2012
U51311MH2019PTC325776,2016
U51311PN1991PTC060311,2019
U51311PN1996PTC017890,1991
U51311PN1996PTC101751,1996
U51311PN1998PTC012801,1996
U51311PN1998PTC012900,1998
U51311PN2001PTC016069,1998
U51311PN2001PTC016441,2001
U51311PN2003PTC018408,2001
U51311PN2003PTC018477,2003
U51311PN2004PTC019850,2003
U51311PN2006PTC022104,2004
U51311PN2007PTC130441,2006
U51312MH1980PTC023164,2007
U51312MH1986PTC038931,1980
U51312MH1988PTC047978,1986
U51312MH1989PTC053940,1988
U51312MH1989PTC054359,1989
U51312MH1991PTC062361,1989
U51312MH1992PTC069230,1991
U51312MH1992PTC069333,1992
U51312MH1994PTC077370,1992
U51312MH1994PTC082349,1994
U51312MH1995PTC092976,1994
U51312MH2000PTC124967,1995
U51312MH2001PTC131902,2000
U51312MH2001PTC131977,2001
U51312MH2001PTC132075,2001
U51312MH2001PTC133092,2001
U51312MH2002PTC134446,2001
U51312MH2002PTC135751,2002
U51312MH2002PTC135889,2002
U51312MH2004PTC147737,2002
U51312MH2007PTC169330,2004
U51312MH2007PTC172641,2007
U51312MH2008PTC184797,2007
U51312PN1999PTC014106,2008
U51317MH1997PTC108960,1999
U51320MH1990PTC055838,1997
U51325MH1996PTC096216,1990
U51325MH2000PTC128806,1996
U51331MH2000PLC130209,2000
U51341MH2005PTC153525,2000
U51370MH1992PTC066227,2005
U51377MH2000PLC126078,1992
U51390MH1982PTC026000,2000
U51390MH1990NPL055795,1982
U51390MH1991PTC060154,1990
U51390MH1992PTC069954,1991
U51390MH1993PTC071430,1992
U51390MH1994PTC079634,1993
U51390MH1994PTC081980,1994
U51390MH1995PTC085259,1994
U51390MH1996PTC098552,1995
U51390MH1996PTC098675,1996
U51390MH1998PTC116552,1996
U51390MH1999PTC119728,1998
U51390MH2000PTC127337,1999
U51390MH2001PTC130453,2000
U51390MH2001PTC131214,2001
U51390MH2001PTC131585,2001
U51390MH2001PTC132143,2001
U51390MH2003PTC140200,2001
U51390MH2003PTC140972,2003
U51390MH2004PTC145298,2003
U51390MH2005PTC153500,2004
U51390MH2007PTC175220,2005
U51390MH2007PTC175572,2007
U51390MH2007PTC177071,2007
U51390MH2008PTC181254,2007
U51390MH2010PTC202555,2008
U51390MH2010PTC203666,2010
U51390MH2018PTC305945,2010
